grove,array,butterfly_present,temp_mean,temp_range,temp_std,diurnal_range,isothermality,temp_stability,temp_extremity,hum_mean,hum_range,hum_std,dewpt_mean,dewpt_range,light_mean,light_range,light_std,sat_vp,actual_vp,vpd,cold_days,humid_days,n_observations
P,SW,0,11.981065883068464,24.183,2.9675155194174963,10.507408163265307,43.44956441824962,0.33698223091223917,0.5728959224871364,79.5966050134692,78.5,8.990635268510772,7.793469121861177,24.299999999999997,1800.4605137594501,41857.608510638296,4012.2006736187377,1.4007678555556593,1.114963657142281,0.28580419841337834,0,31,49
SC,Cluster,1,12.617116140264582,31.748,2.501183478261404,11.43948076923077,36.0321304309902,0.39981073307549164,0.5382154569576194,78.3061135459784,76,8.889988297607873,8.062354922490055,22.1,3336.6099869326426,77726.35,9111.582046293666,1.460619983456767,1.143754742720907,0.3168652407358601,0,25,52
SC,NE,0,12.689998287823974,27.637,2.751113913586398,11.234586206896552,40.650527216762136,0.3634891289166516,0.3303159482871276,79.62485959862818,81,9.325462293317033,8.475770367159873,25.7,4486.91045999964,78498.21724137932,9625.237395506118,1.4676195052937118,1.1685899705321994,0.2990295347615124,0,34,58
SC,NW,0,12.729637044356412,23.059,2.1834848712809714,9.00805172413793,39.06523146770428,0.45798348005650996,0.13495670564358875,79.15870305413563,76,8.479171090625524,8.620463347676573,21.9,2115.5274431365265,43908.049999999996,4791.648989691644,1.471438718677543,1.1647718059415344,0.30666691273600866,0,33,58
SC,SE,0,14.156148176100707,38.665000000000006,5.759000944937962,20.433854545454544,52.848453499171185,0.1736412286716116,0.3475266483229067,83.58381393050301,77,11.745359134983623,10.594603262371859,17,14780.88220458671,144429.63454545455,31863.156274464556,1.6148229816661268,1.3497306363028163,0.2650923453633105,0,19,55
SC,SW,0,12.051170362986733,23.106,2.4200454058603618,8.865293103448275,38.367926527517845,0.4132153874379416,0.44860915090211684,72.59482958914187,62.5,8.258226437822865,7.647651022423756,14.7,1478.6716466012863,30409.303448275863,3143.7564079017657,1.4072572677999082,1.021596015440157,0.38566125235975113,0,3,58
TC,Cluster,1,11.538935235342619,21.618,3.43936691496964,11.192516129032258,51.77405925169886,0.2907511832039668,0.09981476465738126,79.96117039497953,83,7.857688281194268,7.408165849646196,23.299999999999997,1391.3967856631323,40650.61290322581,3718.0733523485596,1.3604430963552834,1.0878262224033837,0.2726168739518997,0,20,31
TC,NE,0,11.843778105258863,28.301000000000002,4.0819924322614565,15.123903225806451,53.4394658344456,0.2449784061569149,0.25019064474113684,78.01600230022085,82.5,9.801401162660573,7.345504782244712,23.9,4797.743745573919,98651.69354838709,12159.623405289853,1.3881355356047198,1.0829678513875611,0.3051676842171587,0,20,31
TC,NW,0,11.438300407865158,21.796,3.35154346349743,10.629290322580646,48.767160591762924,0.29836999307670375,0.13172736991264067,79.47516536916349,82,7.576960190334427,7.390584637653495,22.6,855.1122046059469,8450.054838709677,1285.3700565920233,1.3514084388710756,1.0740340916056181,0.2773743472654575,0,20,31
TC,SE,0,13.80028299155146,36.741,7.015229959373293,23.127290322580645,62.946817785527465,0.14254700213552732,0.36947395289293894,72.38284626216077,92.5,16.28618308336246,7.5027503840245755,28.6,22339.317382296475,162049.31935483872,43319.17245490645,1.5779519643560518,1.1421665444505869,0.43578541990546493,1,21,31
TC,SW,0,11.737821328773137,25.822000000000003,3.4759599294540346,12.589193548387097,48.753750865103775,0.28769031297695913,0.19125158789356256,77.72856144874196,84,8.179691312075168,7.27113701982129,24.5,734.1558298760021,12186.190322580645,1292.22229763941,1.378454618140313,1.0714529449042145,0.3070016732360985,0,20,31
