"","array","month.day","temp.avg","hum.avg","dew.pt.avg","light.avg","light.min","light.max","temp.min","temp.max","temp.std","light.std","dew.pt.std","hum.std","hum.max","hum.min","dp.max","dp.min","daynum","grove"
"21","Cluster","01-21",13.66475,68.2881944444444,6.39930555555556,22335.7,0,176356.7,6.471,30.054,5.76090233447132,49605.7338762639,1.11408446046794,15.1135746562118,90,34,9.6,4.5,52,"OC"
"22","Cluster","01-22",13.3300798611111,60.890625,3.28715277777778,25250.4555555556,0,198401.3,3.998,33.743,7.98984617452393,49074.742801161,1.63764774079137,22.0220276710366,95,32.5,8.8,0,53,"OC"
"23","Cluster","01-23",14.1737534722222,55.5902777777778,3.40590277777778,27820.0875,0,187379,3.155,33.118,8.2561872686049,55118.144147493,3.18806570591303,13.9570212342898,88.5,29.5,10.3,-2.1,54,"OC"
"24","Cluster","01-24",15.7087916666667,62.5208333333333,5.53298611111111,27252.440625,0,187379,5.655,37.935,9.8107292780353,52903.9938159627,3.66014252685324,20.7373129847091,91,20,11.3,-2.2,55,"OC"
"25","Cluster","01-25",14.2040590277778,74.5173611111111,7.01909722222222,28096.7378472222,0,187379,3.683,35.756,9.66790071365274,55164.7904975293,2.51098281997751,20.343300414575,96,26,11.8,3,56,"OC"
"26","Cluster","01-26",12.7013298611111,69.1805555555556,6.46423611111111,8578.50243055556,0,110223,3.788,33.639,8.42757644134924,19625.2823364185,2.80000101539581,19.4741060196661,95,32.5,12.4,3,57,"OC"
"27","Cluster","01-27",14.6303263888889,69.8680555555556,7.06041666666667,21781.8465277778,0,176356.7,6.064,35.009,8.93657803291591,45173.4794962861,2.49370549046409,19.2291324164194,91.5,26,12.5,3.7,58,"OC"
"28","Cluster","01-28",13.3859652777778,81.0208333333333,9.003125,9374.88472222222,0,115734.1,5.655,31.166,6.17546793432282,20443.1838454174,3.11585089272807,15.6824848480862,96,35,13,4.6,59,"OC"
"29","Cluster","01-29",13.6492152777778,88.5347222222222,11.1628472222222,7238.50173611111,0,165334.4,8.879,23.966,3.59946422486837,17696.7112674704,1.11391650654179,11.0597289974702,100.5,60,13.5,8.5,60,"OC"
"30","Cluster","01-30",13.8617465277778,86.8489583333333,10.6854166666667,18632.7138888889,0,176356.7,8.68,29.352,5.40616198125655,43748.4632413212,1.40685077178664,14.7947843347057,101.5,43.5,13.8,8,61,"OC"
"31","Cluster","01-31",13.1211111111111,98.2986111111111,11.8673611111111,6472.28159722222,0,121245.2,8.082,27.37,3.9966462213924,16624.8038459385,2.0196190989106,4.25875586862958,102.5,82.5,16.7,8.3,62,"OC"
"32","Cluster","02-01",12.9170208333333,94.21875,11.446875,5079.01944444444,0,104711.8,7.582,19.377,3.13709563957321,12455.0652675665,2.28341786998997,7.01273573889349,102.5,72.5,16.8,7.8,63,"OC"
"33","Cluster","02-02",13.7066666666667,96.3993055555556,12.4197916666667,8281.07326388889,0,132267.5,10.748,23.581,2.37727505704832,19630.6982149656,1.51657185795742,3.4019772182392,101.5,86,17.7,10.1,64,"OC"
"34","Cluster","02-03",12.4551979166667,100.861111111111,12.3427083333333,4788.42986111111,0,104711.8,9.768,18.996,1.62112697467212,11351.2086342744,1.20513519056002,1.45003237311506,103,93,16.4,9.8,65,"OC"
"35","Cluster","02-04",11.9819826388889,98.7986111111111,11.1739583333333,10708.30625,0,176356.7,8.082,23.484,3.29580427438107,27522.1379453591,2.15940910705629,3.09592259919794,103,86,19,8.1,66,"OC"
"36","Cluster","02-05",9.65246527777778,85.0451388888889,6.10277777777778,15787.365625,0,176356.7,1.221,26.683,5.53973707839504,38420.332598974,3.42759745489673,12.3581023647362,101,48.5,16.1,0.6,67,"OC"
"37","Cluster","02-06",9.22015625,71.9079861111111,2.41701388888889,22515.1743055556,0,176356.7,1.112,25.902,7.53581484602822,46597.1471820797,1.7374804858849,19.9433703175642,99.5,35.5,6.3,-0.2,68,"OC"
"38","Cluster","02-07",10.0547889273356,65.6159169550173,2.17474048442907,27490.0366782007,0,187379,1.221,28.754,7.64474285051057,53169.6123249492,1.52213483754489,18.1920089658977,90,28,5.8,-0.6,69,"OC"
"39","Cluster","02-08",10.3273680555556,73.5381944444444,4.33159722222222,24874.5020833333,0,187379,1.764,26.781,6.64671797110484,51616.4323226098,2.83428638664574,19.9898998766137,100,34.5,9,0.3,70,"OC"
"40","Cluster","02-09",11.6275694444444,94.859375,9.59479166666667,18318.8027777778,0,176356.7,6.978,30.255,5.27175144768521,37345.2893182877,2.91460469256764,5.02798949418737,101.5,78.5,15.9,5.8,71,"OC"
"41","Cluster","02-10",10.23425,86.7395833333333,7.09201388888889,8961.07083333333,0,126756.4,4.311,26.977,4.1433526511314,20951.1257406603,3.09025197260059,10.5650414184809,101,67.5,11.3,1.4,72,"OC"
"42","Cluster","02-11",10.2514618055556,70.2447916666667,2.81875,27663.8982638889,0,198401.3,0.893,31.268,8.49089036457338,54462.301554789,1.51201776946954,22.0444192205596,96.5,30,6.5,-0.1,73,"OC"
